,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,bc_distance
216067,101005373547,2024-03-24 14:33:25,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,26 Snow St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,26 Snow St,2135.0,42.346049640334535,-71.14877067721616,0101000020E6100000D24F727585C951C0C303C85A4B2C4540,Constituent Call,1.2436127984205922
217573,101005778586,2024-11-13 05:08:00,,,ONTIME,Open, ,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 Parsons St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,11 Parsons St,2135.0,42.34970464779656,-71.15528768393473,0101000020E610000029FEC03BF0C951C0D0C5341FC32C4540,Constituent Call,1.1910255870454194
231246,101005528441,2024-06-22 15:41:48,2024-08-27 04:30:00,2024-07-31 06:07:13,ONTIME,Closed,Case Closed. Closed date : Wed Jul 31 10:07:13 EDT 2024 Resolved Done  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1722434830/boston/production/lthtbzoefudfxxkwg79r.jpg#spot=5b94f9f3-3208-4264-b16d-038620e178b3,INTERSECTION of Cufflin St & Tremont St  Brighton  MA  ,11,04,8,D14,Allston / Brighton,15,22,2204,INTERSECTION Cufflin St & Tremont St,,42.35157599331888,-71.17377858345675,0101000020E6100000492C35301FCB51C080AE3071002D4540,Citizens Connect App,1.142999470979711
232626,101005562091,2024-07-09 19:18:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1626 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,1626 Commonwealth Ave,2135.0,42.34301263245087,-71.14279367117973,0101000020E6100000BCF2108823C951C0E43E83D6E72B4540,Constituent Call,1.4117711479260961
239335,101005730527,2024-10-11 23:31:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,29 Colborne Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,29 Colborne Rd,2135.0,42.34302963706671,-71.14611067831176,0101000020E6100000813C9AE059C951C050612865E82B4540,Constituent Call,1.2562622374739145
241400,101005701431,2024-09-27 06:03:15,2024-12-04 05:03:20,,OVERDUE,Open, ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,,INTERSECTION of Argus Pl & Washington St  Brighton  MA  ,11,04,8,D14,Allston / Brighton,15,22,2203,INTERSECTION Argus Pl & Washington St,,42.34913264863008,-71.15443001038913,0101000020E61000001B09692EE2C951C080EAED60B02C4540,City Worker App,1.1847187390719622
248655,101005820992,2024-12-14 20:32:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,145 Sutherland Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,145 Sutherland Rd,2135.0,42.34089963912354,-71.14707068483678,0101000020E6100000C164299B69C951C07DA07099A22B4540,Constituent Call,1.1563037595643577
250839,101005267375,2024-01-21 12:15:33,2024-03-26 04:30:00,2024-06-15 06:57:35,OVERDUE,Closed,Case Closed. Closed date : Sat Jun 15 10:57:35 EDT 2024 Resolved The city of Boston property management department has removed the graffiti at this location with paint  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1718463448/boston/production/qbvjmuesqito3tnog8h6.jpg#spot=91b42cd6-4a2f-4a42-be57-ad0eb31dcf59,12 Oak Square Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,12 Oak Square Ave,2135.0,42.35026965902211,-71.16416070216071,0101000020E610000065C4E39B81CA51C0F923DDA2D52C4540,Citizens Connect App,1.0442802774586009
257138,101005409559,2024-04-12 20:37:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,140 Tremont St  Brighton  MA  02135,,04,9,D14,Allston / Brighton,15,Ward 22,2204,140 Tremont St,2135.0,42.35151967187322,-71.1741507218336,0101000020E610000068B6114925CB51C04E4CBB98FE2C4540,Constituent Call,1.143864248937832
264524,101005539222,2024-06-29 21:33:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,142 Arlington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,142 Arlington St,2135.0,42.35241965184323,-71.15888068579974,0101000020E6100000765EE5192BCA51C033914F161C2D4540,Constituent Call,1.2680667945084396
275947,101005731934,2024-10-13 21:39:00,,2024-10-13 21:43:22,ONTIME,Closed,Case Closed. Closed date : 2024-10-14 01:43:22.317 Duplicate of Existing Case duplicate 5731938  ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1653 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Brighton,15,21,2111,1653 Commonwealth Ave,2135.0,42.34259963523728,-71.14466067601937,0101000020E61000004F21DA1E42C951C09A7B0A4EDA2B4540,Constituent Call,1.312637539967111
279753,101005793671,2024-11-26 17:48:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,88 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2110,88 Washington St,2135.0,42.34396963394839,-71.14388067119185,0101000020E6100000EA52465735C951C00E506C32072C4540,Constituent Call,1.3868682684789053
280483,101005813544,2024-12-07 19:24:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,116 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,116 Washington St,2135.0,42.34453963516962,-71.14489067218133,0101000020E6100000EAA086E345C951C0599DF0DF192C4540,Constituent Call,1.357932861018738
